Team Code	Game Code	Rush Att	Rush Yard	Rush TD	Pass Att	Pass Comp	Pass Yard	Pass TD	Pass Int
193	193023420131207	31	99	1	42	21	140	0	2
193	193069720131231	37	234	3	45	29	427	3	2
196	523019620130831	22	34	1	54	46	447	5	0
196	229019620130905	34	110	2	30	20	202	2	0
196	742019620130914	23	46	0	31	19	158	1	3
196	196045720130928	54	227	4	47	32	376	3	1
196	196041920131005	40	146	2	58	43	365	1	0
196	196071820131012	35	63	2	55	41	480	1	1
196	664019620131019	44	122	4	44	34	354	3	0
196	196023120131102	19	74	1	36	24	299	4	0
196	719019620131109	37	121	2	50	34	384	5	0
196	9019620131116	45	278	3	31	21	347	5	2
196	196049020131123	40	170	3	31	24	275	3	0
196	196038820131129	29	149	3	52	29	291	0	3
196	519019620131223	41	281	3	46	30	287	2	0
204	290020420130831	42	170	3	26	19	210	2	1
204	204053920130907	35	61	0	28	18	122	0	0
204	204058720130914	40	38	0	40	24	335	1	1
204	47020420130921	44	204	2	32	20	212	1	2
204	204008620131005	29	147	1	27	16	182	1	2
204	204072520131012	34	194	1	27	17	223	2	1
204	519020420131019	39	315	1	28	14	162	2	2
204	204050320131026	46	164	1	32	13	173	1	0
204	204070920131102	27	82	0	27	12	227	2	1
204	774020420131109	45	267	4	22	9	136	1	1
204	71020420131123	26	61	0	18	1	4	0	2
204	204012920131129	38	193	0	29	15	151	1	1
229	229041520130830	43	133	0	32	16	117	0	0
229	229019620130905	34	104	0	40	23	178	1	2
229	229065120130914	36	130	2	17	10	98	0	1
229	419022920130921	45	182	2	50	31	321	3	2
229	229057420130928	28	94	0	46	22	272	2	2
229	229000920131005	46	280	3	36	23	299	2	0
229	388022920131012	47	208	2	29	16	187	1	1
229	229003720131026	25	97	1	26	11	150	0	0
229	718022920131102	49	194	3	22	11	137	1	1
229	229066420131116	60	333	4	12	6	35	0	0
229	472022920131123	44	256	4	23	16	329	3	1
229	231022920131129	42	179	0	20	11	252	3	1
231	231039220130831	40	91	1	22	10	80	0	1
231	128023120130906	29	31	0	28	19	142	0	0
231	61023120130914	33	73	0	18	11	156	2	1
231	231036720130921	34	0	0	9	4	27	0	0
231	231066420131005	50	160	2	23	13	181	1	2
231	9023120131012	36	94	1	34	17	302	2	1
231	366023120131026	38	69	0	26	11	128	1	2
231	196023120131102	43	73	1	33	21	194	0	1
231	231041920131109	32	91	0	19	12	142	0	1
231	231070420131116	31	95	0	24	9	105	1	0
231	388023120131123	45	97	0	29	15	167	1	1
231	231022920131129	34	81	0	28	11	89	0	0
234	234054520130902	34	156	1	29	27	377	4	0
234	466023420130914	41	377	6	22	17	240	2	1
234	61023420130921	36	266	4	25	13	226	2	0
234	234006720130928	36	159	1	27	17	330	4	1
234	392023420131005	43	183	4	39	26	431	5	0
234	234014720131019	38	121	2	35	22	444	3	1
234	490023420131026	34	224	4	34	20	342	3	2
234	415023420131102	44	192	4	29	21	325	1	2
234	234074920131109	34	89	3	39	22	207	2	1
234	688023420131116	19	225	4	26	22	298	3	1
234	295023420131123	40	336	4	39	23	309	5	1
