Player Code	Game Code	Rush Att	Rush Yard	Rush TD	Pass Att	Pass Comp	Pass Yard	Pass TD	Pass Int	Rec	Rec Yards	Rec TD	Field Goal Att	Field Goal Made	Points	Fumble	Tackle Solo	Sack	Fumble Forced	Int Ret	Punt	Punt Yard
1022884	317000520130907	0	0	0	0	0	0	0	0	3	37	1	0	0	6	0	0	0.0	0	0	0	0
1022884	5041820130914	0	0	0	0	0	0	0	0	1	24	0	0	0	0	0	0	0.0	0	0	0	0
1022884	671000520130921	0	0	0	0	0	0	0	0	2	21	0	0	0	0	0	0	0.0	0	0	0	0
1022884	5007120130928	0	0	0	0	0	0	0	0	5	50	0	0	0	0	0	0	0.0	0	0	0	0
1022884	519000520131005	0	0	0	0	0	0	0	0	2	20	0	0	0	0	0	0	0.0	0	0	0	0
1022884	5050320131012	0	0	0	0	0	0	0	0	4	74	0	0	0	0	0	0	0.0	0	0	0	0
1022884	5041420131019	0	0	0	0	0	0	0	0	1	9	0	0	0	0	0	0	0.0	0	0	0	0
1022884	47000520131026	0	0	0	0	0	0	0	0	2	21	0	0	0	0	0	0	0.0	0	0	0	0
1022884	331000520131102	0	0	0	0	0	0	0	0	3	39	0	0	0	0	0	0	0.0	0	0	0	0
1022884	709000520131129	0	0	0	0	0	0	0	0	3	25	0	0	0	0	1	0	0.0	0	0	0	0
1052924	317000520130907	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0.0	0	0	0	0
1052924	5050320131012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.0	0	0	0	0
1052924	5041420131019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0
1052924	331000520131102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	1	0	0
1052924	5040020131116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0
1052924	709000520131129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0.0	0	0	0	0
1046136	317000520130907	0	0	0	0	0	0	0	0	1	12	0	0	0	0	0	0	0.0	0	0	0	0
1046132	5012820130829	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1.0	0	0	0	0
1046132	317000520130907	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.0	0	0	0	0
1046132	5041820130914	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0.0	0	0	0	0
1046132	671000520130921	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0.0	0	0	0	0
1046132	5007120130928	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0.0	0	0	0	0
1046132	519000520131005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0.0	0	0	0	0
1046132	5050320131012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0.0	0	0	0	0
1046132	5041420131019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0.0	0	0	0	0
1046132	47000520131026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1.0	1	0	0	0
1046132	331000520131102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.0	0	0	0	0
1046132	5040020131116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0.0	1	0	0	0
1046132	709000520131129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0
1038362	5012820130829	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0.0	0	0	0	0
1038362	317000520130907	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.0	0	0	0	0
1038362	671000520130921	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.0	0	0	0	0
1038362	5007120130928	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0
1038362	519000520131005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.0	0	0	0	0
1038362	5050320131012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.0	0	0	0	0
1038362	5041420131019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	1	0	0
1038362	47000520131026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0.0	0	0	0	0
1038362	331000520131102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0.0	0	0	0	0
1038362	5040020131116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0
1038362	709000520131129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.0	0	0	0	0
1046123	5012820130829	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0
1046123	317000520130907	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0.0	0	0	0	0
1046123	5041820130914	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0.0	0	0	0	0
1046123	671000520130921	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0.0	0	0	0	0
1046123	5007120130928	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0.0	0	0	0	0
1046123	519000520131005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0.0	0	1	0	0
1046123	5050320131012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0.0	0	0	0	0
1046123	5041420131019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0.0	0	0	0	0
1046123	47000520131026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0.0	0	0	0	0
1046123	331000520131102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0.0	0	1	0	0
1046123	5040020131116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0.0	0	1	0	0
1046123	709000520131129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0.0	0	0	0	0
1022881	5012820130829	0	0	0	0	0	0	0	0	3	10	0	0	0	0	0	0	0.0	0	0	0	0
1022881	5041820130914	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0.0	0	0	0	0
1022881	709000520131129	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0.0	0	0	0	0
1046143	5012820130829	0	0	0	0	0	0	0	0	1	10	0	0	0	0	0	0	0.0	0	0	0	0
1046143	317000520130907	0	0	0	0	0	0	0	0	1	5	0	0	0	0	0	0	0.0	0	0	0	0
1046143	5041820130914	0	0	0	0	0	0	0	0	3	16	1	0	0	6	0	0	0.0	0	0	0	0
